Modelo,Clase,Precision,Recall,F1-Score,Support
SVM,ADHD,0.0,0.0,0.0,72.0
SVM,Anxiety_Stress,0.8873563218390804,0.9406986190089358,0.9132492113564669,1231.0
SVM,Burnout,0.8340807174887892,0.8303571428571429,0.8322147651006712,224.0
SVM,Mood,0.8100558659217877,0.7692307692307693,0.7891156462585034,377.0
SVM,Multiple,0.6451612903225806,0.625,0.6349206349206349,96.0
SVM,accuracy,,,0.847,
SVM,macro avg,0.6353308391144477,0.6330573062193696,0.6339000515272553,2000.0
SVM,weighted avg,0.8232481291124393,0.847,0.8345374330770988,2000.0
KNN,ADHD,0.05172413793103448,0.5416666666666666,0.09443099273607748,72.0
KNN,Anxiety_Stress,0.9267139479905437,0.31844029244516653,0.4740024183796856,1231.0
KNN,Burnout,0.4448818897637795,0.5044642857142857,0.47280334728033474,224.0
KNN,Mood,0.4187192118226601,0.4509283819628647,0.4342273307790549,377.0
KNN,Multiple,0.294478527607362,0.5,0.37065637065637064,96.0
KNN,accuracy,,,0.381,
KNN,macro avg,0.42730354302307594,0.46309992535779665,0.3692240919663047,2000.0
KNN,weighted avg,0.715144816360965,0.381,0.44774533678995043,2000.0
Logistic Regression,ADHD,0.10863509749303621,0.5416666666666666,0.18097447795823665,72.0
Logistic Regression,Anxiety_Stress,0.9446854663774403,0.7075548334687246,0.8091035764050163,1231.0
Logistic Regression,Burnout,0.8608247422680413,0.7455357142857143,0.7990430622009569,224.0
Logistic Regression,Mood,0.7632241813602015,0.8037135278514589,0.7829457364341085,377.0
Logistic Regression,Multiple,0.5546875,0.7395833333333334,0.6339285714285714,96.0
Logistic Regression,accuracy,,,0.7255,
Logistic Regression,macro avg,0.6464113974997439,0.7076108151211795,0.6411990848853779,2000.0
Logistic Regression,weighted avg,0.8522698973854825,0.7255,0.7720249981966921,2000.0
Decision Tree,ADHD,0.0880952380952381,0.5138888888888888,0.15040650406504066,72.0
Decision Tree,Anxiety_Stress,0.934878587196468,0.6880584890333062,0.7927000467945718,1231.0
Decision Tree,Burnout,0.6413043478260869,0.7901785714285714,0.708,224.0
Decision Tree,Mood,0.8007662835249042,0.5543766578249337,0.6551724137931034,377.0
Decision Tree,Multiple,0.3795620437956204,0.5416666666666666,0.44635193133047213,96.0
Decision Tree,accuracy,,,0.661,
Decision Tree,macro avg,0.5689213000876635,0.6176338547684733,0.5505261791966376,2000.0
Decision Tree,weighted avg,0.8195787084940106,0.661,0.717542405652263,2000.0
Random Forest,ADHD,0.0,0.0,0.0,72.0
Random Forest,Anxiety_Stress,0.8723559445660102,0.9715678310316815,0.9192928516525749,1231.0
Random Forest,Burnout,0.7033898305084746,0.7410714285714286,0.7217391304347827,224.0
Random Forest,Mood,0.7878787878787878,0.6896551724137931,0.7355021216407355,377.0
Random Forest,Multiple,0.6349206349206349,0.4166666666666667,0.5031446540880503,96.0
Random Forest,accuracy,,,0.831,
Random Forest,macro avg,0.5997090395747815,0.563792219736714,0.5759357515632286,2000.0
Random Forest,weighted avg,0.7947060868886704,0.831,0.8094526261263606,2000.0
Gaussian NB,ADHD,0.06719367588932806,0.2361111111111111,0.10461538461538461,72.0
Gaussian NB,Anxiety_Stress,0.8632734530938124,0.7026807473598701,0.7747424988804299,1231.0
Gaussian NB,Burnout,0.3880597014925373,0.3482142857142857,0.36705882352941177,224.0
Gaussian NB,Mood,0.43515850144092216,0.4005305039787798,0.4171270718232044,377.0
Gaussian NB,Multiple,0.18781725888324874,0.3854166666666667,0.2525597269624573,96.0
Gaussian NB,accuracy,,,0.574,
Gaussian NB,macro avg,0.38830051815996974,0.4145906629661426,0.38322070116217766,2000.0
Gaussian NB,weighted avg,0.6682690752264313,0.574,0.6124820700752246,2000.0
CatBoost,ADHD,0.0,0.0,0.0,72.0
CatBoost,Anxiety_Stress,0.8912386706948641,0.958570268074736,0.923679060665362,1231.0
CatBoost,Burnout,0.8095238095238095,0.8348214285714286,0.8219780219780219,224.0
CatBoost,Mood,0.8357348703170029,0.7692307692307693,0.8011049723756906,377.0
CatBoost,Multiple,0.6413043478260869,0.6145833333333334,0.6276595744680851,96.0
CatBoost,accuracy,,,0.858,
CatBoost,macro avg,0.6355603396723527,0.6354411598420534,0.6348843258974319,2000.0
CatBoost,weighted avg,0.8275427002297625,0.858,0.8417219471683546,2000.0
Gamma Pydra,ADHD,0.04424778761061947,0.2777777777777778,0.07633587786259542,72.0
Gamma Pydra,Anxiety_Stress,0.8116385911179173,0.4305442729488221,0.5626326963906582,1231.0
Gamma Pydra,Burnout,0.2043343653250774,0.29464285714285715,0.2413162705667276,224.0
Gamma Pydra,Mood,0.26685393258426965,0.2519893899204244,0.2592087312414734,377.0
Gamma Pydra,Multiple,0.1527777777777778,0.34375,0.21153846153846154,96.0
Gamma Pydra,accuracy,,,0.372,
Gamma Pydra,macro avg,0.29597049088313226,0.3197408595579763,0.2702064075199832,2000.0
Gamma Pydra,weighted avg,0.5816772217289372,0.372,0.4350906305278409,2000.0
