Modelo,Clase_Real,Clase_Predicha,Cantidad
SVM,0,0,0
SVM,0,1,64
SVM,0,2,0
SVM,0,3,8
SVM,0,4,0
SVM,1,0,17
SVM,1,1,1158
SVM,1,2,0
SVM,1,3,56
SVM,1,4,0
SVM,2,0,0
SVM,2,1,1
SVM,2,2,186
SVM,2,3,4
SVM,2,4,33
SVM,3,0,4
SVM,3,1,81
SVM,3,2,2
SVM,3,3,290
SVM,3,4,0
SVM,4,0,0
SVM,4,1,1
SVM,4,2,35
SVM,4,3,0
SVM,4,4,60
KNN,0,0,39
KNN,0,1,15
KNN,0,2,2
KNN,0,3,14
KNN,0,4,2
KNN,1,0,615
KNN,1,1,392
KNN,1,2,26
KNN,1,3,165
KNN,1,4,33
KNN,2,0,15
KNN,2,1,1
KNN,2,2,113
KNN,2,3,49
KNN,2,4,46
KNN,3,0,77
KNN,3,1,15
KNN,3,2,81
KNN,3,3,170
KNN,3,4,34
KNN,4,0,8
KNN,4,1,0
KNN,4,2,32
KNN,4,3,8
KNN,4,4,48
Logistic Regression,0,0,39
Logistic Regression,0,1,24
Logistic Regression,0,2,0
Logistic Regression,0,3,9
Logistic Regression,0,4,0
Logistic Regression,1,0,278
Logistic Regression,1,1,871
Logistic Regression,1,2,0
Logistic Regression,1,3,81
Logistic Regression,1,4,1
Logistic Regression,2,0,0
Logistic Regression,2,1,0
Logistic Regression,2,2,167
Logistic Regression,2,3,3
Logistic Regression,2,4,54
Logistic Regression,3,0,41
Logistic Regression,3,1,27
Logistic Regression,3,2,4
Logistic Regression,3,3,303
Logistic Regression,3,4,2
Logistic Regression,4,0,1
Logistic Regression,4,1,0
Logistic Regression,4,2,23
Logistic Regression,4,3,1
Logistic Regression,4,4,71
Decision Tree,0,0,37
Decision Tree,0,1,26
Decision Tree,0,2,1
Decision Tree,0,3,4
Decision Tree,0,4,4
Decision Tree,1,0,328
Decision Tree,1,1,847
Decision Tree,1,2,4
Decision Tree,1,3,27
Decision Tree,1,4,25
Decision Tree,2,0,5
Decision Tree,2,1,3
Decision Tree,2,2,177
Decision Tree,2,3,14
Decision Tree,2,4,25
Decision Tree,3,0,45
Decision Tree,3,1,27
Decision Tree,3,2,65
Decision Tree,3,3,209
Decision Tree,3,4,31
Decision Tree,4,0,5
Decision Tree,4,1,3
Decision Tree,4,2,29
Decision Tree,4,3,7
Decision Tree,4,4,52
Random Forest,0,0,0
Random Forest,0,1,69
Random Forest,0,2,0
Random Forest,0,3,3
Random Forest,0,4,0
Random Forest,1,0,0
Random Forest,1,1,1196
Random Forest,1,2,1
Random Forest,1,3,32
Random Forest,1,4,2
Random Forest,2,0,0
Random Forest,2,1,12
Random Forest,2,2,166
Random Forest,2,3,26
Random Forest,2,4,20
Random Forest,3,0,0
Random Forest,3,1,82
Random Forest,3,2,34
Random Forest,3,3,260
Random Forest,3,4,1
Random Forest,4,0,0
Random Forest,4,1,12
Random Forest,4,2,35
Random Forest,4,3,9
Random Forest,4,4,40
Gaussian NB,0,0,17
Gaussian NB,0,1,40
Gaussian NB,0,2,4
Gaussian NB,0,3,6
Gaussian NB,0,4,5
Gaussian NB,1,0,208
Gaussian NB,1,1,865
Gaussian NB,1,2,10
Gaussian NB,1,3,96
Gaussian NB,1,4,52
Gaussian NB,2,0,6
Gaussian NB,2,1,14
Gaussian NB,2,2,78
Gaussian NB,2,3,78
Gaussian NB,2,4,48
Gaussian NB,3,0,21
Gaussian NB,3,1,65
Gaussian NB,3,2,85
Gaussian NB,3,3,151
Gaussian NB,3,4,55
Gaussian NB,4,0,1
Gaussian NB,4,1,18
Gaussian NB,4,2,24
Gaussian NB,4,3,16
Gaussian NB,4,4,37
CatBoost,0,0,0
CatBoost,0,1,65
CatBoost,0,2,0
CatBoost,0,3,7
CatBoost,0,4,0
CatBoost,1,0,4
CatBoost,1,1,1180
CatBoost,1,2,1
CatBoost,1,3,43
CatBoost,1,4,3
CatBoost,2,0,0
CatBoost,2,1,3
CatBoost,2,2,187
CatBoost,2,3,6
CatBoost,2,4,28
CatBoost,3,0,2
CatBoost,3,1,74
CatBoost,3,2,9
CatBoost,3,3,290
CatBoost,3,4,2
CatBoost,4,0,0
CatBoost,4,1,2
CatBoost,4,2,34
CatBoost,4,3,1
CatBoost,4,4,59
Gamma Pydra,0,0,20
Gamma Pydra,0,1,22
Gamma Pydra,0,2,8
Gamma Pydra,0,3,17
Gamma Pydra,0,4,5
Gamma Pydra,1,0,316
Gamma Pydra,1,1,530
Gamma Pydra,1,2,134
Gamma Pydra,1,3,164
Gamma Pydra,1,4,87
Gamma Pydra,2,0,33
Gamma Pydra,2,1,25
Gamma Pydra,2,2,66
Gamma Pydra,2,3,63
Gamma Pydra,2,4,37
Gamma Pydra,3,0,67
Gamma Pydra,3,1,62
Gamma Pydra,3,2,99
Gamma Pydra,3,3,95
Gamma Pydra,3,4,54
Gamma Pydra,4,0,16
Gamma Pydra,4,1,14
Gamma Pydra,4,2,16
Gamma Pydra,4,3,17
Gamma Pydra,4,4,33
