Modelo,Accuracy,Precision,Recall,F1
SVM,0.847,0.8232481291124393,0.847,0.8345374330770988
KNN,0.381,0.715144816360965,0.381,0.44774533678995043
Logistic Regression,0.7255,0.8522698973854825,0.7255,0.7720249981966921
Decision Tree,0.661,0.8195787084940106,0.661,0.717542405652263
Random Forest,0.831,0.7947060868886704,0.831,0.8094526261263606
Gaussian NB,0.574,0.6682690752264313,0.574,0.6124820700752246
CatBoost,0.858,0.8275427002297625,0.858,0.8417219471683546
SVM,0.847,0.8232481291124393,0.847,0.8345374330770988
KNN,0.381,0.715144816360965,0.381,0.44774533678995043
Logistic Regression,0.7255,0.8522698973854825,0.7255,0.7720249981966921
Decision Tree,0.661,0.8195787084940106,0.661,0.717542405652263
Random Forest,0.831,0.7947060868886704,0.831,0.8094526261263606
Gaussian NB,0.574,0.6682690752264313,0.574,0.6124820700752246
CatBoost,0.858,0.8275427002297625,0.858,0.8417219471683546
Gamma Pydra,0.372,0.5816772217289372,0.372,0.4350906305278409
